,title,venue,date,hosting_university,regulator_supervisor,speaker_1,speaker_2,speaker_3,number_participants,topics_1,topics_2,topics_3,results_1,results_2,results_3,new_insights_main_take_aways,remarks,timestamp
19,SupTech workshop ,National Bank of Slovakia,2019-05-21,University of Economics in Bratislava,National Bank of Slovakia,Jana Peliova,Marek Kacer,#NV,12,Introduction into statistical methods,Machine learning,4 use cases,participants form different division of supervision section with various backgrounds,much appreciated concept of theoretical introduction and application via cases,#NV,set of suggestions for authors of all cases regarding methodology,"participants would prefer to have data sets, and codes ion distance server-like environment to prevent inconveniences with R instability",1558849542
20,Suptech WorkShop 1 (Helsinki),Helsinki,2019-03-04,Tampere University (Formerly University of Tampere),FIN-FSA,Antti Talonen,Mikko Riikkinen,Lasse Koskinen,30,Risk in Peer-to-Peer Lending,Peer-to - Peer Lending (Networks and Statistical Models),Overview of Project and Fintech (Business and Regulatory Issues),Supervisors learned the main topics,Generated deep and fruitful discussions on the topics,United different units at FSA and researchers,Internal model regulation is a valid tool to be  tailored for Peer-to-Peer lending assessments,Workshop was also available also via Skype internally at FIN-FSA,1558945389
21,Suptech WorkShop 1 (Stockholm),Stockholm,2019-03-06,Tampere University (Formerly University of Tampere),SWE-FSA,Mikko Riikkinen,Antti Talonen,Lasse Koskinen,25,Risk in Peer-to-Peer Lending,Peer-to - Peer Lending (Networks and Statistical Models),Overview of Project and Fintech (Business and Regulatory Issues),Supervisors learned the main topics,Generated deep and fruitful discussions on the topics,United different units at FSA and researchers,The importance of international and national legal issues was underlined.,Workshop was also available also via Skype internally at SWE-FSA,1558946044
22,SUPTECH WORKSHOP 2 (Helsinki),Helsinki (FIN-FSA),2019-03-22,Tampere University,FIN-FSA,Tapio Nummi,Antti Talonen,Lasse Koskinen,20,Use Case 1,Use Case 2,Statistical Modelling and Trends in Insurance Business,Supervisors learned Use Cases 1 and 2,Supervisors learned necessary statistical and mathematical background ,Related banking and insurance business and regulation was compared,Statistical models can be very useful for analyzing simulation outcomes. ,Workshop was also available also via Skype internally at FIN-FSA,1558946665
23,Suptech WorkShop 2 (Stockholm),Stockholm (SWE-FSA),2019-05-15,Tampere University,SWE-FSA,Juho Kanniainen,Antti Talonen,Lasse KOskinne,15,Use Case 1,Use Case 2,Machine learning and complex networks,Supervisors learned Use Cases 1-2,Supervisors learned practical and theoretical issues related to complex networks,Related banking and insurance business and regulation was compared,The importance of consumer attitudes and psychology was discussed and emphasized. ,Workshop was also available also via Skype internally at SWE-FSA,1558947258
24,SUPTECH WORKSHOP 3 (Helsinki),Helsinki (FIN-FSA),2019-04-26,Tampere University,FIN-FSA,Antti Talonen,Lasse Koskinen,#NV,20,Use Case 3,Use Case 4,Use Cases and Supervisory Issues,Supervisors learned Use Cases 3 and 4,The principles of Internal model regulation were successfully utilized as a tool  for Peer-to-Peer lending assessments,Integrating banking and insurance experts in teams,Integrating banking and insurance experts in teams turned out to be a good choice  during the workshop,#NV,1558948501
25,SUPTECH WORKSHOP 3 (Stockholm),Stockholm (SWE-FSA),2019-05-08,Tampere University,SWE-FSA,Antti Talonen,Lasse Koskinen,#NV,10,Supervisors learned Use Cases 3 and 4,Use Cases and Supervisory Issues,Integrating banking and insurance experts in teams,Supervisors learned use cases 3 and 4,The principles of Internal model regulation were successfully utilized  as a tool for Peer-to-Peer lending assessments,Integrating banking and insurance experts in teams,Integrating banking and insurance experts in teams turned out to be a good choice  during the workshop,#NV,1558948871
26,CREDIT RISK IN P2P LENDING,"Financial Supervision Commission, 1000 Sofia,16 Budapeshta str. ",2019-06-06,University of Economics - Varna,Financial Supervision Commission,Assoc.Prof. Dr. Silvia Parusheva,Chief Assist. Prof. Dr. Y. Alexandrova ,Chief Assist. Prof. Dr. L. Lyubenov,35,Data analysis,Machine learning I in Peer-to-peer lending,Networking models and Network based scoring models,"Presentation of Peer-to-peer lending, basic data analysis methods and main types of risks","Approaches to measuring financial risk, credit risk",Presentation of 3 use cases,#NV,#NV,1560277821
27,Suptech Workshop BDA IV,Consob - Rome (conference call with Consob - Milan),2019-05-23,Organized by Polimi,Consob,Marazzina Daniele,Azzone Michele,#NV,30,Use Case III,Q&A,#NV,discussing on BDA application for supervisor,#NV,#NV,#NV,#NV,1560529288
28,SUPTECH WORKSHOP I CREDIT RISK IN P2P LENDING,National Bank of Belgium,2019-06-06,University of Luxembourg,NBB & FSMA,Beltran Fiz,Ekaterina Khramtsova,Radu State,14,Centrality Measures,Community Detection,Peer to Peer Lending,Basic Theory covered,Use Cases presented step by step,Reusable R & Python notebooks,"- Too academic slides
- More applicable use cases
","The regulators were discontent with the choice topics and use cases. They requested for future workshops a set of topics and use cases which are more relevant to their day to day tasks, such as fraud detection and AML.
Additional information will be added after feedback interview.",1561034985
29,Regulation and FinTech,The Financial Services Authority,2019-03-05,UCL,The Financial Services Authority,Tomaso Aste,Fabio Caccioli,Giacomo Livan,24,Machine learning,Complex Networks,Data sciene,Identification of user cases,#NV,#NV,FCA team is diverse with some highly specialised team members. There is a need for a cross-disciplinary approach and academia can create the right environment for cross-fertilization.,This activity started as a training and has become a collaboration with a FCA member undertaking a PhD with us and several research projects carried forwards together.  ,1561468530
30,Data Analytics: a P2P lending user case,FCA,2019-03-26,UCL,FCA,Tomaso Aste,Jeremy Turiel,#NV,22,P2P Lending,data analytics ,artificial intelligence,elaboration of further user cases to look together,#NV,#NV,The use of user cases to convey information and exchange perspectives is very powerful because it grounds discussion on real practical and relevant issues.,#NV,1561468732
31,SupTech Workshop I - Austria - FMA & WU,"WU Vienna, Executive Academy Building",2019-06-19,WU Vienna University of Economics and Business,FMA Finanzmarktaufsicht Österreich,Kurt Hornik,Ronald Hochreiter,Christian Ochs,18,Three use-cases Credit Risk in P2P Modeling (H2020 FinTech),How to unleash the potential of AI in Finance,"FinTech, RegTech, SupTech, LawTech",FMA is highly interested in this project and liked the presentations,FMA wants to collaborate with other European regulators,FMA prepares a list of cases they like to tackle.,This project is just what regulators want and need!,Definitely a wonderful and well-received event.,1561488047
32,Statistical Models,"CMVM, Lisbon",2019-06-07,INESC-TEC,CMVM,Anabela Carneiro,#NV,#NV,35,Linear regression model,Logistic regression,Model validation/evaluation measures,To apply data analysis from an econometric perspective,To present statistical software appropriate to analyze empirical data,#NV,Use of econometric tools,It would be useful to plan additional sessions where the participants could run the empirical applications in their own laptop,1561590091
33,"Machine Learning, Neural Networks and Deep Learning",Portuguese Securities Market Commission (CMVM),2019-06-19,INESC TEC,"CMVM, Bank of Portugal, Insurance and Pension Funds Supervisory Authority, and others",Nuno Moniz,#NV,#NV,35,Machine Learning,Artificial Intelligence,Deep Learning,Introduction to Machine Learning,Insights into AI and the surge of Deep Learning,Presentation and discussion of a use case,"- There is a high level of curiosity regarding these topics
- From the Q&A as well as talks after the session, it is clear that there is interest in testing such topics in the context of the regulation/supervision entities that were in attendance, albeit with not a clear idea as to what context/application/use case
- One of the most representative groups in attendance were related to legal issues. These were highly interested in the subject in the perspective of privacy and ethics in ML/AI, which should be explored.",#NV,1561626179
34,FIN-TECH Risk management Suptech workshop BLOCKCHAINS,Jožef Stefan Institute,2019-05-27,Jožef Stefan Institute,Banka Slovenije,Nastja Cepak,Matjaž Krnc,Jernej Vičič and Aleksandar Tošić,45,History of Blockchain technology,What are the building blocks of Blockchains?,"Cryptocurrencies, smart contracts and other applications of Blockchain technologies",Active discussions between speakers and regulator ,Regulator representatives receive a complete overview of Blockchain technology,Regulator representatives receive a deeper understanding of the risks and benefits related to Blockchain technologies,"Representatives of the regulator Banka Slovenije showed high interest in the topic, specifically in gaining a deeper understanding of the underlying technology. As the workshop progressed, a long and detailed discussion followed between the expert speakers (researchers) and the financial representatives which opened up many interdisciplinary points of interest on both sides.","The first Suptech workshop was based on the topic of Blockchains upon the request of the Slovenian regulator. Of the three topics to be explored within the Fintech project (Big Data, AI, Blockchains), the latter was of the highest priority for the Slovenian regulator. As a result, the workshop had a high number of participants and therefore also served as a promotional activity for the project. The feedback that JSI received was extremely positive and well received by the regulator.",1561634408
35,FIN-TECH Risk management Suptech workshop BIG DATA,Jožef Stefan Institute,2019-06-20,Jožef Stefan Institute,Banka Slovenije,Marko Grobelnik,Jasna Urbančič,Matej Kovačič,24,Overview of Big Data technology,Open Data and Data Analysis – Big Data and AI Approach to Open Data,Use Cases: P2P lending/credit risk management,Representatives of the regulator recieved a thorough overview of Big Data technology,Discussions between the speakers and the representatives of the regulator,Presentation of Fintech project use cases on Big Data,"Following the workshop on BLOCKCHAINS, representatives of the Slovenian Regulator were very keen to explore the topic of Big Data within the Fintech project. The number of participants exceeded expectations. Detailed discussions arose during the workshop, exploring the interdisciplinary nature of the topic and the areas where the financial field overlaps with the rapidly growing area of Big Data. Several representatives of the regulator, with a more technology oriented background, expressed further interest in exploring the topic on a deeper, more technical level.","Discussions are currently taking place with the Slovenian regulator regarding the planning of another workshop in the autumn of 2019 regarding the Fintech Big Data use cases. The workshop would be much smaller in scale and organized with specific individuals from the regulator, that have a strong IT background. The purpose of the workshop would be to go deeper into the use cases.",1561635686
36,CREDIT RISK IN P2P LENDING II,"1000 Sofia, 16 Budapeshta str., Financial Supervision Commission",2019-06-20,University of Economics - Varna,Financial Supervision Commission,Silvia Parusheva; Nedyalko Valkanov,Yanka  Alexandrova   Luybomir Lyubenov  ,D. Karadimova ,30,Crowdfunding; Application of machine learning algorithms for crowdfunding platforms,Distance based scoring models  ,Network models - model validation,Knowledge exchange on credit risk on Peer-to-peer lending and Crowdfunding,Discussion on use cases,#NV,#NV,#NV,1561650383
37,Big Data Analytics,Portuguese Securities Market Commission (CMVM),2019-06-06, INESC TEC,Portuguese Securities Market Commission (CMVM),Paula Brito,Pedro Campos,#NV,35,Overview of the FIN-TECH project,"Statistical models: Decision trees (CART, random forest) , Support Vector Machines (SVM)","Network models: Network representation, Centrality measures , Minimum spanning tree","Information about the project, participants, activities","Introduction to statistical learning, classification models, reference to R","Introduction to network analysis, presentation of case study 1","General interest in the methods/approaches presented. 
Network analysis raised much interest, interventions from the audience, examples, etc.
 Use of a case study motivates and helps understanding the models presented.
","Rather heterogeneous audience, as concerns formation, functions, age.",1561678488
38,SUPTECH WORKSHOP I  - CREDIT RISK IN P2P LENDING: Approaches for high-dimensional problems: factor models?,CMVM .- Lisbon,2019-06-18,CMVM - The Portuguese Securities Market Commission,CMVM - The Portuguese Securities Market Commission,Pedro Campos,#NV,#NV,32,Factor Analtysis - Overview and PCA - Principal Component Analytsis,Cluster analysis,Applications to real data - Case Study ,Participants understand the need to use new methods.,Useful discussion with participants,#NV,"A revision of previous topics (preivous sessions)  was made...
The ""new"" language of AI and ML methods is important for their activities.
Several breaks and milestones have been introduced in order to improve questions and discussion and to see if participants were following the explanations. 
","The course would benefit with more hands-on and software practice.
",1561905962
39,SUPTECH WORKSHOP I CREDIT RISK MODELS,BUCHAREST,2019-06-20,THE BUCHAREST UNIVERSITY OF ECONOMIC STUDIES,AUTORITATEA DE SUPRAVEGHERE FINANCIARA (FINANCIAL SUPERVISORY AUTHORITY),"ASSOCIATE PROFESSOR DANIEL-TRAIAN PELE, Ph.D.","ASSISTANT PROFESSOR RALUCA-DANA CAPESCU, Ph.D.","ASSISTANT PROFESSOR ADRIAN OTOIU, Ph.D.",8,USE OF R FOR MODELLING CREDIT RISK,PRESENTATION OF USE CASES FOR CREDIT RISK MODELLING,BRAINSTORMING SESSION,"PARTICIPANTS WERE INTRODUCED TO AND FAMILIARIZED WITH THE USE OF R AS FREE, OPEN-SOURCE ANALYSIS TOOL",PARTICIPANTS WERE EXPLAINED HOW CREDIT RISK CAN BE MODELLED FOR P2P PLATFORMS,SEVERAL IDEAS FOR DEVELOPING MODELS ON ROMANIAN DATA,"Participants, who were mostly using Excel in their regular activities, were excited about working with R. During the presentation of use cases, the participants were involved, asking questions and further details. Their understanding and interest was fully reflected in the discussions from the brainstorming session, where we were able to think of several possibilities to further enhance our collaboration and develop models adapted to Romanian context on financial markets.",We strongly believe the workshop provided the context for a fruitful collaboration.,1561988176
40,Peer to peer lending risk management,"Bank of Spain. Madrid, Spain",2019-06-10,Complutense University of Madrid,Bank of Spain,Javier Arroyo Gallardo,Miller Janny Ariza,#NV,25,Use case I: Network based scoring models to improve credit risk management in P2P lending,Use case II: Factorial network models to improve P2P credit risk management,Use Case IV: Loan screening and default prediction with machine learning and deep neural networks,"The discussion focused on aspects such as interpretability, data bias, ","sensitivity to the hyperparameters,  data treatment and",dynamic calibration.,"It is considered that interpretability is one of the most relevant aspects to be considered in a  model. Interpretable models build-up trust. Interpretability is key to ensure transparency and accountability for regulators. Machine learning models need to be explained and the effect of variables better understood. If they perform slightly better, but they are opaque they won’t be considered. Theoretical support is required, that is, each variable needs to be explained economically or financially, as it was the case of the connectivity and community variables in the use cases.
For example, connectivity variables were useful to predict default risk, however, there is no clarity about how it would function for the acquisition of obligations of new companies not included in the construction of the models.
At the same time, we discussed about regularization processes, which aim to generate a trade off between bias and variance on model prediction and a simpler model. Focusing on regularization neglects parameter estimation and consequently the model loses interpretative power.
Derived from the interest of the Bank of Spain in interpretability, we explained the different alternatives of explainability in machine learning models: such as partial-dependency graphs, permutation feature importance, shappley additive explanation, Local Interpretable Model Agnostic Explanations, researches on regularizing Black-box models for Improved Interpretability, among others. We identify a research opportunity on explainability, propose them to work on it and contact them later to explain the results.
In the subject of bias in the data, the regulators considered vital to know the details about the measurement and construction of the indicators in the models, together with their validation in the case of companies.
These proposals require a thoroughly characterization of the sample and evidence of its representativeness of the population under study. This characterization, reduces the possibility of introducing sampling and algorithmic biases.
The regulators were also concerned about the hyperparameters used in the machine learning models and how they affect the performance of the model. It is discussed that finding a “good” set of hyperparameters using cross validation (for example, nested cross validation) and meta-heuristic optimization is important. Differences in terms of performance using “good” sets are often negligible.
In the aspect of data processing, it is highlighted the importance of having a consistent position regarding the treatment of outliers, data imputation and missing data. We comment that some machine learning methods are  robust when dealing with outliers, such as decision trees or SVM when increasing margin width.
The incorporation of the temporal dynamics of the analysis event and the variables used is also demanded, as is the incorporation of forward looking elements.
","It is considered important to build models and evaluation tools through interdisciplinary teams (alliances and strategic synergies) between different actors such as Banks, Fintech, regulatory bodies, researchers (research centers and universities), information sources administrators. This,ensures the consistency, implementation, vigilance and transparency of these modeling proposals.
",1562016530
41,Contagion and financial stability: new tools for P2P credit risk management and banking systems,"Bank of Spain. Madrid, Spain.",2019-06-26,Complutense University of Madrid,Bank of Spain,Javier Arroyo Gallardo,Miller Janny Ariza,#NV,6,Spatial regression models to improve P2P credit risk management,Measuring bank contagion in Europe using binary spatial regression models ,#NV,"For this session the feedback from the regulator focused on the stability of the network structure, ",the endogeneity of the variables used,the need to include a temporal dynamics to the model,"About the first topic, the network had to be derived in both use cases, since it does not seem feasible to have access to the exposures between individual banks or exchange between companies. Its construction has used certain assumptions that assume a homogeneous (proportionality) network. Therefore, they suggest evaluating how robust the conclusions can be in the face of changes in the network structure and construction. They also mention than in the use case of banks they would be able to create the network with exposure data and are interested in the models for testing them with their data.
An aspect that they consider relevant for this type of models is sensitivity analysis, being able to simulate shocks on the included variables and identifying the most affected companies or banks, which allows them to foresee measures in that case of relevant consequences.
Regarding the second topic, they consider that the macroeconomic variables also have a component of endogeneity that has not been contemplated in the model. The global (i.e. international) dimension of the banks is highlighted, so that their variables must go beyond the country dimension in its relation with macroeconomic components, for example, in a very simple way, obtain the average GDP of the countries in which they have banking obligations.
They consider extremely important for the models to be explainable from theoretical point and with parameter values reasonable. To illustrate this argument, they say that they tests a vast battery of models, they discard all those in which the signs of the variables do not make sense.
Finally, it is suggested the inclusion of temporal information (temporal lags), together with spatial information. In other words, combining models with these two components. They also propose to incorporate forward looking elements. Furthermore, they suggest the use of a sequential approach, trying to anticipate which bank could have problems and what would be the effect of that bank in the network, in other words, they carry out a simulation.
","As an alternative proposal, they suggest investigating relationships between banks derived from companies they share through credit obligations, and how these relationships are associated with the risk of bankruptcy. In other words, they suggest studying interbank “second-order” relationships. Study the interconnections of banks with other financial actors. 
It is important to mention also that three types of public have been identified: 
Regulators that seek to understand more about the product, how it works, how accountable it is, and how to put it in production.
Statistical and computer scientists who are concerned about the methodology, the classification performance and perhaps some inference
Econometricians who are very concerned about the methodology, the theoretical and contextual support, interpretability, among others.
",1562017029
42,SUPTECH WORKSHOP I CREDIT RISK MODELS - Bucharest,Financial Supervisory Authority (part 1) and Bucharest University of Economic Studies (part 2),2019-07-17,Bucharest University of Economic Studies,Financial Supervisory Authority ,Vasile Alecsandru Strat & Daniel Traian Pele,Raluca Caplescu & Adrian Otoiu,Tudor Doman (from ASF),#NV,Backgroung information and Project Details,Activity of the Financial Supervisory Authority ,The 3 USE CASES and further practical collaboration covering the needs of FSA ,the introduction of the risk assesment models and of some hands-on to the representatives of FSA,the introduction of R & Python programing languages to the representatives of FSA,a better understanding of the use of Big Data and credit risk models for the representatives of FSA,"1. FSA is mostly responsible for supervising markets with a low number of players and is not using Big Data.
2. All credit related responsibilities are not at FSA but at NBR (BNR)
3. FSA has created in InsurtechHub but ownership and further development are not yet clear.
4. There is a clear need in FSA for using more sophisticated methodological models and more data.
5. It is a clear need for a platform bringing together supervisory bodies, academia and fintechs","1. A national goal in the margin of the project would be to create a platform as mentioned in point 5
2. The situation and development of InsurtechHub will be an importat aspect as a national objective of the project.",1562154012
