asset_unique,symb_assets,type_assets,Variance,Skewness,Kurtosis,Stable \alpha,Stable \gamma,Q_{5%},Q_{2.5%},Q_{1%},Q_{0.5%},CTE_{5%},CTE_{2.5%},CTE_{1%},CTE_{0.5%},Q_{95%},Q_{97.5%},Q_{99%},Q_{99.5%},CTE_{95%},CTE_{97.5%},CTE_{99%},CTE_{99.5%},GARCH parameter,ARCH parameter
ZSDY_COMDTY_ZSDY_,ZSDY_,Commodity,0.000220125,0.149987025,5.009515016,1.932960322,0.009859193,-0.02372776,-0.02828965,-0.034799045,-0.038526436,-0.030825603,-0.036010244,-0.043213504,-0.050867212,0.023914817,0.02924595,0.037175258,0.040918532,0.032299637,0.038365482,0.04734946,0.057021828,0.810887484,0.094029221
0x_ZRX,ZRX,Crypto,0.035802169,15.38971254,310.487731,1.619175805,0.04874016,-0.134598668,-0.16584095,-0.233882425,-0.246538204,-0.195380753,-0.244428573,-0.335760692,-0.399009517,0.157631023,0.194518782,0.336230652,0.362591447,0.36439491,0.57010552,1.083920481,1.572015377,0.005285905,0.994713895
Achain_ACT,ACT,Crypto,0.050725747,11.67154715,225.6331694,1.264450554,0.042223259,-0.172723037,-0.218039766,-0.297272343,-0.468708738,-0.299168776,-0.394278112,-0.636412812,-0.815595625,0.178657835,0.263231224,0.377924958,0.565379159,0.459555019,0.685856055,1.273876073,1.840587026,0.697640862,0.302358938
AdEx_ADX,ADX,Crypto,0.039808242,10.26488769,173.679563,1.462047472,0.05439412,-0.189014093,-0.241237259,-0.360961297,-0.400154934,-0.279361841,-0.341319848,-0.430999771,-0.479697878,0.164136393,0.281780115,0.466748257,0.774990638,0.472760488,0.731615174,1.206796873,1.905614743,0.190562215,0.809437585
Aeon_AEON,AEON,Crypto,0.021033792,0.741289073,23.45442125,1.440690357,0.060827255,-0.196836024,-0.252969822,-0.335535359,-0.406057242,-0.297317979,-0.369080044,-0.500303355,-0.666111456,0.225837953,0.286652827,0.425905711,0.546459626,0.367003739,0.474795063,0.650518072,0.85930758,0.940520644,0.056413251
Aeternity_AE,AE,Crypto,0.020835576,-0.238853537,30.53913992,1.238260767,0.044143849,-0.170406931,-0.212833145,-0.342726523,-0.618493362,-0.326890809,-0.452576775,-0.719145811,-1.006985511,0.168077534,0.259848248,0.420741626,0.564369709,0.338308952,0.460849338,0.686957674,0.911588424,0.662182065,0.337817735
Agrello_DLT,DLT,Crypto,0.015294305,1.269198087,11.73157438,1.429492371,0.053515792,-0.164669723,-0.208284211,-0.323015918,-0.404859128,-0.250315941,-0.320253704,-0.419633729,-0.459646001,0.191542895,0.274485894,0.368877479,0.510030981,0.326509325,0.429891055,0.60049144,0.709986157,0.875437533,0.107437585
Aragon_ANT,ANT,Crypto,0.031252669,15.8130404,335.0067028,1.618485363,0.050378152,-0.143464537,-0.189838444,-0.247371754,-0.271516602,-0.204282167,-0.243927378,-0.286467737,-0.31259803,0.146188208,0.198756144,0.242007993,0.332634632,0.324590127,0.478865602,0.87564299,1.479923951,0.079938262,0.920061538
Ardor_ARDR,ARDR,Crypto,0.011827027,-3.597783997,61.64998109,1.425163331,0.041562972,-0.141331927,-0.173188338,-0.239103865,-0.327955103,-0.239391491,-0.323524181,-0.487055968,-0.69335177,0.144952034,0.195688701,0.302809216,0.365590719,0.233737167,0.303513876,0.396275963,0.463374099,0.835870458,0.127585477
Ark_ARK,ARK,Crypto,0.011682155,0.990382582,9.794871992,1.637772447,0.054254411,-0.151331931,-0.193905326,-0.295150561,-0.364718989,-0.226900278,-0.28084096,-0.36386933,-0.401086364,0.159471905,0.216175383,0.381460786,0.544091476,0.27872332,0.37207388,0.549069413,0.600785067,0.906828211,0.078355384
Asch_XAS,XAS,Crypto,0.022365781,1.559956974,26.71243904,1.31726152,0.051267602,-0.188320455,-0.28990243,-0.432162608,-0.653629316,-0.347819889,-0.45100252,-0.632582245,-0.736805861,0.207935207,0.317599409,0.521077793,0.559535689,0.38856965,0.506552823,0.729678422,0.926234253,0.945483002,0.052905865
Augur_REP,REP,Crypto,0.019809202,11.49341877,254.5058758,1.53437713,0.04521342,-0.143000093,-0.189848396,-0.267867715,-0.313597536,-0.221136207,-0.275562554,-0.374093419,-0.435583043,0.133675888,0.189218819,0.331086778,0.40510072,0.297660142,0.447046193,0.750510362,1.060643568,0,0.9999998
Bancor_BNT,BNT,Crypto,0.077021317,19.4157963,445.6431936,1.263228801,0.029238408,-0.120566602,-0.158599077,-0.220259156,-0.320311446,-0.228203148,-0.327280163,-0.524326898,-0.793595624,0.113207682,0.138922861,0.195821573,0.232767852,0.363202148,0.619477532,1.227324134,2.252101535,0.142770392,0.857229408
BasicAttentionToken_BAT,BAT,Crypto,0.010369225,0.021727274,11.07564392,1.644534561,0.05205882,-0.153355249,-0.205149943,-0.253673032,-0.349818982,-0.23073887,-0.285712886,-0.384887448,-0.480658512,0.147116564,0.198446933,0.260521856,0.388502176,0.238126064,0.299158494,0.406973033,0.522694693,0.92965736,0.054839316
BinanceCoin_BNB,BNB,Crypto,0.012998082,1.255510334,34.47470054,1.369832199,0.038265782,-0.112670619,-0.140264786,-0.305037785,-0.358203807,-0.221823259,-0.311292548,-0.527608613,-0.657709181,0.1539663,0.23445384,0.363079011,0.4288288,0.304679949,0.404946711,0.587490852,0.704579967,0.873177641,0.116400316
bitCNY_BITCN,BITCN,Crypto,0.017439835,0.300732768,123.1117922,1.183403212,0.013001997,-0.059613061,-0.090397417,-0.174161663,-0.5440238,-0.21134458,-0.352530125,-0.696886233,-1.117411501,0.06154297,0.098854151,0.209075251,0.615154313,0.231040433,0.386869953,0.767718168,1.156264492,0.911323338,0.088676462
Bitcoin_BTC,BTC,Crypto,0.002084237,-0.179473903,7.820197565,1.249350977,0.017218847,-0.07248228,-0.100794437,-0.13983808,-0.174105383,-0.112393951,-0.142846263,-0.181970407,-0.210103882,0.076378651,0.098781499,0.141928831,0.16999041,0.111901632,0.138041169,0.175816919,0.198870991,0.850073482,0.115416572
BitcoinCash_BCH,BCH,Crypto,0.026639702,-12.03782011,230.7281463,1.277868146,0.038258913,-0.141444391,-0.179868048,-0.303961843,-0.387554796,-0.3204287,-0.473338951,-0.91485894,-1.312210081,0.163889572,0.243291328,0.335153731,0.411292816,0.263094631,0.327218302,0.404053138,0.424326998,0,0.9999998
Bitcore_BTX,BTX,Crypto,0.030323221,-2.190951554,31.20843967,1.21977057,0.055903826,-0.220223512,-0.301163879,-0.350460911,-0.801447621,-0.413521964,-0.572585035,-0.937264063,-1.418499232,0.231507845,0.334257085,0.459182996,0.62049533,0.375020248,0.497243296,0.666489085,0.808680957,0.584387328,0.340367908
BitShares_BTS,BTS,Crypto,0.00832816,0.374853345,16.19282097,1.28128916,0.033486857,-0.125773262,-0.17289001,-0.248994771,-0.309128802,-0.205758494,-0.266705029,-0.365602453,-0.4433046,0.133821402,0.182566544,0.305601443,0.36025171,0.231576881,0.310670443,0.41662775,0.490549097,0.49392967,0.434933093
BlackCoin_BLK,BLK,Crypto,0.014125931,3.292875382,51.26973825,1.326012879,0.04150094,-0.153986827,-0.210305024,-0.282135258,-0.356088726,-0.241666111,-0.302723899,-0.395365221,-0.472569987,0.168436938,0.238942785,0.376191675,0.445329785,0.308772639,0.41809906,0.615249771,0.809669306,0.849093486,0.150906314
Blackmoon_BMC,BMC,Crypto,0.020929705,11.37991,204.8172117,1.650072524,0.049728392,-0.144173193,-0.179699376,-0.239642825,-0.285472567,-0.199452555,-0.235521067,-0.282966486,-0.294606061,0.139703831,0.183328517,0.277497748,0.329179482,0.305692132,0.439703089,0.786508391,1.117294711,0,0.9999998
Blocknet_BLOCK,BLOCK,Crypto,0.020277717,0.775710793,12.65636143,1.565891656,0.068856208,-0.191999848,-0.246303468,-0.33187376,-0.4346531,-0.295799693,-0.371006661,-0.496052465,-0.658301583,0.224356676,0.291037066,0.456261861,0.663754456,0.365717191,0.481631126,0.671973195,0.826875953,0.517777779,0.187654296
Blox_CDT,CDT,Crypto,0.035227464,-11.1644587,200.752348,1.61877675,0.057866154,-0.167741521,-0.22048874,-0.288834562,-0.41451053,-0.383005159,-0.595321267,-1.143531278,-1.647687626,0.179420904,0.238241384,0.292435211,0.334188832,0.263002302,0.326590806,0.419441362,0.502449485,0.864067484,0.112251791
Boolberry_BBR,BBR,Crypto,0.033637459,8.322549362,168.4735014,1.481961761,0.06121728,-0.184971208,-0.246280377,-0.323158763,-0.439207392,-0.294849148,-0.378927133,-0.524972161,-0.70329238,0.195022011,0.323096101,0.5307063,0.724173722,0.45179418,0.668531375,1.014334763,1.510553374,0.849852495,0.150147305
Burst_BURST,BURST,Crypto,0.026017017,-14.17673464,386.8486314,1.543289055,0.051722606,-0.157908164,-0.218072292,-0.319632614,-0.40996858,-0.308587908,-0.433096744,-0.698208886,-0.992744737,0.165135926,0.224945817,0.313222657,0.443345903,0.271789972,0.347563083,0.481886544,0.5860128,0.184244406,0.815755394
Bytecoin_BCN,BCN,Crypto,0.038164494,-14.23201333,425.2062692,1.441561337,0.049771672,-0.16476907,-0.218771303,-0.271640137,-0.371569759,-0.320883701,-0.453088781,-0.759113134,-1.21516779,0.167054085,0.237125556,0.39063162,0.59593376,0.338373953,0.473889535,0.742596271,1.017116278,0.750631472,0.249368328
Bytom_BTM,BTM,Crypto,0.062820928,17.31008469,365.8779298,1.351549558,0.041660377,-0.162218248,-0.197379977,-0.228698001,-0.279670617,-0.234216821,-0.294870242,-0.425768866,-0.542922258,0.15973622,0.207483425,0.413190478,0.575151544,0.443015624,0.728970045,1.481997019,2.166296835,0.265224347,0.734775453
Cardano_ADA,ADA,Crypto,0.014897155,5.217566228,52.51581627,1.354823393,0.038580235,-0.13619828,-0.160117301,-0.200451649,-0.219755806,-0.176279026,-0.2048271,-0.242968034,-0.284729176,0.139672342,0.245522256,0.450084654,0.861542904,0.342581218,0.525772464,0.871336531,1.166622388,0.248758309,0.751241491
Chainlink_LINK,LINK,Crypto,0.023328564,10.31916212,176.9936096,1.686674634,0.055881072,-0.142011053,-0.18387866,-0.22179264,-0.239294276,-0.195176439,-0.228683268,-0.270506035,-0.300953124,0.176414205,0.233250398,0.339404498,0.418833776,0.355117219,0.500381404,0.866152051,1.183859628,0.199057785,0.800942015
Civic_CVC,CVC,Crypto,0.027383416,13.54210924,262.2578804,1.448780551,0.041401245,-0.143158404,-0.185650976,-0.254062712,-0.269980774,-0.202996689,-0.247441572,-0.300591645,-0.341977381,0.138247265,0.183094172,0.289059912,0.513328896,0.336674395,0.514575684,0.910590683,1.505886373,0.218086075,0.781913725
Clams_CLAM,CLAM,Crypto,0.020093065,5.131756033,95.7932692,1.385784975,0.045193508,-0.151550406,-0.23166782,-0.369530229,-0.445304445,-0.292007201,-0.39158579,-0.525049783,-0.623468545,0.157736717,0.205937734,0.380633502,0.518931618,0.324986711,0.465419699,0.769298511,1.058057867,0.757428883,0.242570917
Crypto.com_MCO,MCO,Crypto,0.02224735,5.544468791,67.26683598,1.232643491,0.040751145,-0.167987955,-0.213699382,-0.287570755,-0.363485293,-0.242588294,-0.296364983,-0.367458053,-0.414410542,0.179584678,0.295222082,0.478885016,0.780205507,0.42005086,0.620889875,0.935891941,1.272061233,0.649123253,0.350876547
Dash_DASH,DASH,Crypto,0.010025764,4.243701118,66.91875241,1.311432468,0.031195816,-0.115294941,-0.161450756,-0.216377181,-0.24576319,-0.184369191,-0.235322435,-0.317957226,-0.407196455,0.137455135,0.192156584,0.267734262,0.364251609,0.259099245,0.35458295,0.553110233,0.802246422,0.756493134,0.243506666
Decentraland_MANA,MANA,Crypto,0.017997606,5.31341431,65.76315992,1.555183996,0.050472152,-0.150891502,-0.19879874,-0.312917822,-0.325410215,-0.229766399,-0.281306741,-0.330398164,-0.337046998,0.15133464,0.234638301,0.380978184,0.556960244,0.355657553,0.507943739,0.828844346,1.083769466,0.152634842,0.847364958
Decred_DCR,DCR,Crypto,0.020026472,15.35157043,365.6982041,1.298390581,0.035382314,-0.124502107,-0.149077664,-0.181294455,-0.229413147,-0.164086066,-0.190213973,-0.23200541,-0.256680552,0.167484529,0.218136444,0.327410502,0.395631964,0.318065357,0.445317689,0.736992382,1.037096009,0,0.9999998
DeepOnion_ONION,ONION,Crypto,0.064158525,14.93542898,296.5352311,1.318980413,0.049776447,-0.17096073,-0.236259915,-0.327431141,-0.406463599,-0.272103399,-0.351908927,-0.462940748,-0.526353049,0.21196119,0.322209831,0.423740365,0.610089837,0.528393603,0.814016149,1.533398555,2.197365671,0.899850785,0.065161898
Dent_DENT,DENT,Crypto,0.078165322,-12.4694901,245.9359917,1.208339402,0.054943379,-0.236085549,-0.286874889,-0.419878278,-0.43511628,-0.507770284,-0.777907331,-1.429277296,-2.097934437,0.254677199,0.343794388,0.488786618,0.801453183,0.441836541,0.601650378,0.862272556,1.042931572,0,0.9999998
Dentacoin_DCN,DCN,Crypto,0.02561149,2.264640884,26.32085956,1.225187155,0.05305794,-0.229204195,-0.280732231,-0.417387201,-0.517684866,-0.335153144,-0.424193708,-0.565788172,-0.612362669,0.255621037,0.325156838,0.443196813,0.622891847,0.419365669,0.565971976,0.829856962,1.074991533,0.802426956,0.193451149
DigiByte_DGB,DGB,Crypto,0.071931614,-27.18678357,933.9569622,1.428489503,0.047666075,-0.147502886,-0.207097179,-0.336230266,-0.397460469,-0.366091175,-0.564374917,-1.002111139,-1.734737911,0.168817926,0.26128784,0.407458486,0.55328279,0.324550866,0.446744261,0.609483962,0.777781311,0.873443486,0.126556314
DigitalNote_XDN,XDN,Crypto,0.038969043,-14.75046028,431.979604,1.511252508,0.055186167,-0.173845834,-0.2328744,-0.310874228,-0.390299031,-0.333633255,-0.465311888,-0.758080047,-1.172059027,0.18065096,0.271045033,0.403479172,0.616937044,0.351845184,0.485026065,0.709463132,0.916119113,0.006395073,0.993604727
DigixDAO_DGD,DGD,Crypto,0.010389365,-2.50097921,38.00208968,1.434593374,0.040271648,-0.135906509,-0.193232076,-0.258787144,-0.309195193,-0.241167336,-0.327158381,-0.473235303,-0.716269208,0.14391893,0.215112613,0.264517045,0.333228476,0.22654605,0.281938376,0.35138165,0.426599375,0.722404889,0.199170279
district0x_DNT,DNT,Crypto,0.021584194,-5.563748986,93.02834618,1.355611601,0.048000183,-0.173412904,-0.213022707,-0.267001636,-0.342965957,-0.304174775,-0.406925942,-0.712187344,-0.982013229,0.197711542,0.299837851,0.375636444,0.453200141,0.311953342,0.385612301,0.486112105,0.555250459,0.940483365,0.040512656
Dogecoin_DOGE,DOGE,Crypto,0.007340236,2.719000388,33.3087842,1.192387288,0.026037689,-0.108909134,-0.149886734,-0.20749725,-0.279810881,-0.174882873,-0.223166851,-0.289129828,-0.354892559,0.123094551,0.184443325,0.248971484,0.40387072,0.233350535,0.318235449,0.46931528,0.634508443,0.784587833,0.215411967
EDCBlockchain_EDC,EDC,Crypto,0.358069888,23.6748165,637.1803598,1.275627132,0.042745558,-0.178630283,-0.221549039,-0.451603526,-1.269425469,-0.470579137,-0.729671606,-1.33806127,-1.994960319,0.154486539,0.233481563,0.362496679,0.494506181,0.673763868,1.143505547,2.441633914,4.469528117,0.454227583,0.545772217
Einsteinium_EMC2,EMC2,Crypto,0.034719767,-12.15714385,354.9912625,1.436330173,0.054094395,-0.178783711,-0.244543485,-0.321198105,-0.379560713,-0.327584562,-0.448023662,-0.702388722,-1.05536594,0.197223191,0.263564273,0.416063524,0.591711895,0.352782428,0.473786892,0.699093187,0.891666172,0.043420426,0.956579374
Emercoin_EMC,EMC,Crypto,0.023661476,1.205236567,34.96904097,1.237144655,0.045834514,-0.177243563,-0.256511703,-0.431240563,-0.539631383,-0.330953253,-0.447026799,-0.64304434,-0.820405075,0.193953667,0.306728921,0.466367269,0.59322772,0.401556186,0.548644446,0.786707892,1.081735571,0.807523153,0.192476647
EOS_EOS,EOS,Crypto,0.090532845,20.51958403,464.6042545,1.386247818,0.039849557,-0.134137454,-0.179663284,-0.229252474,-0.318693503,-0.206336724,-0.25431647,-0.330924218,-0.392161472,0.153879285,0.220288678,0.307348348,0.347250799,0.474159773,0.758266236,1.426591918,2.527622273,0,0.9999998
Ethereum_ETH,ETH,Crypto,0.024871415,17.76122849,497.9027685,1.278709041,0.030966781,-0.115973868,-0.145144488,-0.206521078,-0.263542985,-0.189630825,-0.248697949,-0.366094028,-0.52433403,0.138585759,0.18761748,0.288923169,0.361452112,0.288460903,0.416896739,0.711040974,1.192980072,0.098093659,0.901906141
EthereumClassic_ETC,ETC,Crypto,0.048260524,-20.47438583,536.99909,1.267994798,0.031246575,-0.123504768,-0.159331008,-0.231390344,-0.342106959,-0.325420999,-0.51238279,-1.018331191,-1.722483189,0.134467985,0.182349828,0.246427182,0.325856722,0.235245163,0.313250556,0.466954611,0.652303486,0.521662252,0.478337548
Ethos_ETHOS,ETHOS,Crypto,0.057610501,-13.87857788,288.4911987,1.305380361,0.047559493,-0.167886907,-0.216761834,-0.296603724,-0.340220664,-0.392264571,-0.601202653,-1.073942456,-1.845914539,0.18152105,0.279022501,0.410503185,0.442149062,0.348879746,0.47340407,0.644636335,0.866030345,0,0.9999998
Factom_FCT,FCT,Crypto,0.01592216,6.515023398,96.50122419,1.462482019,0.044721809,-0.144848455,-0.189954135,-0.266235871,-0.294104222,-0.20371584,-0.245941542,-0.296453375,-0.31438211,0.173578752,0.228904736,0.319605928,0.441791276,0.321702153,0.447495073,0.709601113,1.056560129,0.20229309,0.79770671
Feathercoin_FTC,FTC,Crypto,0.015520548,0.999275118,19.27410258,1.327272631,0.04469414,-0.163825347,-0.210842463,-0.301315789,-0.37098719,-0.260742382,-0.339799341,-0.460711029,-0.60307242,0.176073001,0.272166111,0.417105578,0.616508982,0.335136605,0.453527353,0.650791101,0.772856881,0.545242394,0.22153457
FirstBlood_1ST,1ST,Crypto,0.017344615,2.120518569,21.43098715,1.412975902,0.051523221,-0.176262825,-0.24245515,-0.305505836,-0.42111867,-0.273937657,-0.335857068,-0.412673382,-0.490859273,0.201379429,0.280475189,0.338912404,0.524037496,0.353129121,0.467698727,0.68056654,0.938598173,0.823479909,0.123787368
FLO_FLO,FLO,Crypto,0.018590737,0.714826268,7.144470646,1.521400729,0.064812527,-0.199291118,-0.254155664,-0.370597643,-0.424578619,-0.289710961,-0.356585371,-0.438544865,-0.487463934,0.221292935,0.307075691,0.49287026,0.575548597,0.361491146,0.462298708,0.576871859,0.640928191,0.74620931,0.125207334
FunFair_FUN,FUN,Crypto,0.067944242,-18.4604536,405.3473038,1.407005227,0.046903404,-0.171922628,-0.221262439,-0.295824718,-0.403489927,-0.441318582,-0.68737569,-1.265647645,-2.206248269,0.157793385,0.219675432,0.288952912,0.413243622,0.249869258,0.316749493,0.393597029,0.471288423,0.566864735,0.433135065
GameCredits_GAME,GAME,Crypto,0.066335927,-6.174370764,168.4620086,1.253025517,0.053004157,-0.200021673,-0.287682072,-0.540509362,-0.693147181,-0.495087167,-0.754724673,-1.316728606,-2.132782169,0.23529565,0.375172874,0.720351829,0.961659337,0.539666548,0.791565909,1.198280028,1.620329675,0.921046267,0.069870369
Gas_GAS,GAS,Crypto,0.039760729,12.49332131,229.1508354,1.443071424,0.048876514,-0.154125823,-0.187960451,-0.279846437,-0.341537261,-0.21726683,-0.267799354,-0.341179414,-0.384347516,0.170451913,0.281735423,0.538591768,0.739500603,0.472453586,0.734905139,1.223408932,1.847185693,0,0.9999998
Gnosis_GNO,GNO,Crypto,0.145579388,22.65459407,543.732565,1.327447802,0.038296531,-0.139978768,-0.184113951,-0.251705042,-0.266387245,-0.205191588,-0.250851621,-0.307886575,-0.354805861,0.13485912,0.197403443,0.295438211,0.348728167,0.518238094,0.877707612,1.830422575,3.35694523,0.136480864,0.863518936
Golem_GNT,GNT,Crypto,0.010570378,1.50980279,16.05971695,1.447326948,0.045809997,-0.152302901,-0.193610424,-0.242328837,-0.302190661,-0.210728167,-0.248600688,-0.300720592,-0.324762185,0.157596874,0.230615581,0.295365746,0.344643589,0.26907044,0.34375364,0.45836455,0.557466347,0,0.785247905
Groestlcoin_GRS,GRS,Crypto,0.052205651,-12.66062108,352.8024502,1.239224363,0.05691095,-0.215350936,-0.288914405,-0.404038356,-0.484097577,-0.409730524,-0.574612913,-0.921683208,-1.41499887,0.27849167,0.40264294,0.569729213,0.750327805,0.468854349,0.612381404,0.799417692,0.952021801,0,0.9999998
Gulden_NLG,NLG,Crypto,0.030021449,-20.85560856,653.0236475,1.363485611,0.039270868,-0.131474288,-0.185897658,-0.264919544,-0.335124551,-0.285637442,-0.418431106,-0.720200119,-1.147664831,0.158782546,0.21704558,0.309815493,0.401754243,0.262168563,0.340234821,0.454036094,0.559557437,0.187596446,0.812403354
